[[64, 3, 7, 7], [64], [64], [64, 64, 1, 1], [64], [64], [64, 64, 3, 3], [64], [64], [256, 64, 1, 1], [256], [256], [256, 64, 1, 1], [256], [256], [64, 256, 1, 1], [64], [64], [64, 64, 3, 3], [64], [64], [256, 64, 1, 1], [256], [256], [64, 256, 1, 1], [64], [64], [64, 64, 3, 3], [64], [64], [256, 64, 1, 1], [256], [256], [128, 256, 1, 1], [128], [128], [128, 128, 3, 3], [128], [128], [512, 128, 1, 1], [512], [512], [512, 256, 1, 1], [512], [512], [128, 512, 1, 1], [128], [128], [128, 128, 3, 3], [128], [128], [512, 128, 1, 1], [512], [512], [128, 512, 1, 1], [128], [128], [128, 128, 3, 3], [128], [128], [512, 128, 1, 1], [512], [512], [128, 512, 1, 1], [128], [128], [128, 128, 3, 3], [128], [128], [512, 128, 1, 1], [512], [512], [256, 512, 1, 1], [256], [256], [256, 256, 3, 3], [256], [256], [1024, 256, 1, 1], [1024], [1024], [1024, 512, 1, 1], [1024], [1024], [256, 1024, 1, 1], [256], [256], [256, 256, 3, 3], [256], [256], [1024, 256, 1, 1], [1024], [1024], [256, 1024, 1, 1], [256], [256], [256, 256, 3, 3], [256], [256], [1024, 256, 1, 1], [1024], [1024], [256, 1024, 1, 1], [256], [256], [256, 256, 3, 3], [256], [256], [1024, 256, 1, 1], [1024], [1024], [256, 1024, 1, 1], [256], [256], [256, 256, 3, 3], [256], [256], [1024, 256, 1, 1], [1024], [1024], [256, 1024, 1, 1], [256], [256], [256, 256, 3, 3], [256], [256], [1024, 256, 1, 1], [1024], [1024], [512, 1024, 1, 1], [512], [512], [512, 512, 3, 3], [512], [512], [2048, 512, 1, 1], [2048], [2048], [2048, 1024, 1, 1], [2048], [2048], [512, 2048, 1, 1], [512], [512], [512, 512, 3, 3], [512], [512], [2048, 512, 1, 1], [2048], [2048], [512, 2048, 1, 1], [512], [512], [512, 512, 3, 3], [512], [512], [2048, 512, 1, 1], [2048], [2048], [1000, 2048], [1000], [64], [64], [], [64], [64], [], [64], [64], [], [256], [256], [], [256], [256], [], [64], [64], [], [64], [64], [], [256], [256], [], [64], [64], [], [64], [64], [], [256], [256], [], [128], [128], [], [128], [128], [], [512], [512], [], [512], [512], [], [128], [128], [], [128], [128], [], [512], [512], [], [128], [128], [], [128], [128], [], [512], [512], [], [128], [128], [], [128], [128], [], [512], [512], [], [256], [256], [], [256], [256], [], [1024], [1024], [], [1024], [1024], [], [256], [256], [], [256], [256], [], [1024], [1024], [], [256], [256], [], [256], [256], [], [1024], [1024], [], [256], [256], [], [256], [256], [], [1024], [1024], [], [256], [256], [], [256], [256], [], [1024], [1024], [], [256], [256], [], [256], [256], [], [1024], [1024], [], [512], [512], [], [512], [512], [], [2048], [2048], [], [2048], [2048], [], [512], [512], [], [512], [512], [], [2048], [2048], [], [512], [512], [], [512], [512], [], [2048], [2048], [], [1, 3, 224, 224]]
tensor(0.7817) tensor(1.8070e-11)
tensor(0.5083) tensor(1.1246e-08)
tensor(0.8481) tensor(3.9217e-08)
tensor(0.7266) tensor(2.6148e-11)
tensor(0.3749) tensor(1.1805e-08)
tensor(0.5289) tensor(6.4411e-08)
tensor(0.4679) tensor(2.7413e-12)
tensor(0.2718) tensor(9.5639e-09)
tensor(0.5250) tensor(4.7086e-08)
tensor(0.3936) tensor(1.0812e-11)
tensor(0.3888) tensor(9.5138e-09)
tensor(0.3074) tensor(1.1174e-07)
tensor(0.9879) tensor(1.2654e-11)
tensor(0.4561) tensor(1.0182e-08)
tensor(0.3074) tensor(1.1174e-07)
tensor(0.2618) tensor(7.5762e-13)
tensor(0.3410) tensor(1.2985e-09)
tensor(0.4051) tensor(6.0297e-08)
tensor(0.5201) tensor(4.7359e-12)
tensor(0.3002) tensor(0.1189)
tensor(0.3349) tensor(0.0002)
tensor(0.2946) tensor(1.3090e-10)
tensor(0.2751) tensor(7.9670e-08)
tensor(0.1560) tensor(2.8872e-07)
tensor(0.1921) tensor(1.0748e-11)
tensor(0.2446) tensor(0.0998)
tensor(0.1918) tensor(0.0105)
tensor(0.2856) tensor(5.7924e-07)
tensor(0.3154) tensor(0.1159)
tensor(0.3410) tensor(0.0025)
tensor(0.2752) tensor(1.9111e-06)
tensor(0.3755) tensor(2.4634e-05)
tensor(0.1969) tensor(9.1795e-05)
tensor(0.3532) tensor(6.7758e-06)
tensor(0.3512) tensor(0.1076)
tensor(0.3035) tensor(0.0008)
tensor(0.2993) tensor(7.4368e-08)
tensor(0.2907) tensor(0.1448)
tensor(0.3161) tensor(0.0007)
tensor(0.3917) tensor(5.5088e-11)
tensor(0.3281) tensor(3.0899e-10)
tensor(0.1982) tensor(6.0001e-08)
tensor(0.5662) tensor(5.1404e-12)
tensor(0.3732) tensor(5.8966e-09)
tensor(0.1982) tensor(6.0001e-08)
tensor(0.2522) tensor(1.4427e-11)
tensor(0.2188) tensor(0.0506)
tensor(0.3854) tensor(0.0003)
tensor(0.2998) tensor(9.4583e-08)
tensor(0.2867) tensor(0.0797)
tensor(0.1976) tensor(0.0005)
tensor(0.3038) tensor(4.0165e-11)
tensor(0.3909) tensor(1.7509e-06)
tensor(0.2384) tensor(8.9617e-07)
tensor(0.2383) tensor(1.1024e-09)
tensor(0.2403) tensor(0.1067)
tensor(0.2680) tensor(0.0006)
tensor(0.2556) tensor(3.5333e-08)
tensor(0.2537) tensor(0.1083)
tensor(0.2805) tensor(0.0027)
tensor(0.3522) tensor(2.4298e-07)
tensor(0.3287) tensor(0.0012)
tensor(0.2691) tensor(0.0002)
tensor(0.2814) tensor(5.3535e-07)
tensor(0.2389) tensor(0.1190)
tensor(0.2346) tensor(0.0002)
tensor(0.2210) tensor(5.5992e-08)
tensor(0.2589) tensor(0.1212)
tensor(0.2776) tensor(0.0010)
tensor(0.2956) tensor(3.7300e-08)
tensor(0.3164) tensor(9.7018e-05)
tensor(0.2126) tensor(7.0849e-06)
